web_scraper_order,web_scraper_start_url,data,price,price2,data2,image,image2
"1771750614-11","https://eleveprints.com/en-usd/collections/hoodies","Velvet Dreams Fabric Sample Set","$77.99","","","https://imgproxy.fourthwall.com/JjN_WCdw18JybBfqCAEmJL7t0BisP6XMb4vXvjg47gw/w:720/sm:1/enc/dXMtq8TWeM4j_jgL/XK1IHouL47kAYuLK/PrPDGcBhIwS_TiwZ/I4QJ1qJihDN-5B1M/__8z883UsTIKS1-O/wE6xIgFemGavcWGf/7xECxeBwEiawlLF7/iziqKpVBLOtMybws/xo7zk0JcTO2gld1D/g1B09-V6m7NX7gGs/ZPoTFxGi8pegOQpG/nxXh5RW0EWf-K2wV/iKg2ORR7-KEfQbFz/tPM7FeQhHhAAuVgp/HAQEwNXigvU","https://imgproxy.fourthwall.com/ZxOZ-KGWDMVhcgcy9NfJh3gYOwJcA7I8R3rW_J_4S4k/w:720/sm:1/enc/e7nf6Q4wzQ0KIXvv/HUnCU9nLUfqmJ3Sg/Mf0waR0rJgRmYALA/1Z47W00Pf33Uc3g4/HuHgiC4tx_VH36pn/JIulraYRWZ4JiRmK/D2WV1Z_0qtgSqN2l/RyxTAZvRmBLg7UnZ/FFpxIzwgNRxs29-X/T9jteuB0lr_qV7Cn/mJfNDq5zT1AJyIDK/ROX5o688c6ZqUhRg/tvw1lPSCNBm0_ZPc/ocxh5u1sNk8Iywkc/oW5PHoLlBGU"
"1771750614-12","https://eleveprints.com/en-usd/collections/hoodies","Keep It Simple Unisex Hoodie","$88.00","","","https://imgproxy.fourthwall.com/hAbwApD9T3osNeLgW_BZez8XwOlAas6YqZNTJ-dwYv8/w:720/sm:1/enc/aqab9afRhtfyIVAZ/Quqz1Dwcouw7hqhG/YY49na3_aiK4-zB_/HB09EFbSfc-4rlfd/cXPfuE0qHMYpPa1O/gGgXw1WMYqhOXOty/eE_icmn3_g9GQy5r/leHpLSc9fFLGCKbI/JfuPYAVP7QdmcCHv/k7R2PkSucFykVZwY/nRzHJLGeqaLDxRmo/H9PCJv8ByUCg7crv/ns7TZA4FX1EvGedL/XlX2wQcYbRu41wjc/qZf1hqrVm90","https://imgproxy.fourthwall.com/LMioLwsU6T065rVQ3iG7PSIaDiLMg9RmAOIHNpWBpO4/w:720/sm:1/enc/3jlL8uiyqm69IAn4/4Wtjpn4wpz4QxRwX/jTWuTHj9CCHq4XbB/ZzVBAKrYc3l9bJEn/E0IuWjwMC8cPD6MU/aWiuhMXcgKXX-gLx/Lh73XNfXDXOUSZqs/rjNG7SG5m8FFuwUp/dg6BpXgyOKN51Yck/Xsqk7m8ymvt39Ini/AF5liVcIt8gaXuRc/1LTxe7JI3D7LDfgr/RFdWiVCSpMrRQIKz/uTiNUMWrbvIcNGuQ/IEm5a2gS6pI"
"1771750614-13","https://eleveprints.com/en-usd/collections/hoodies","Vintage Rose Wardiere Hoodie","$34.99","$43.99","+4","https://imgproxy.fourthwall.com/TEqi40AbcsQ9FNAQk1xqUZGdpJhqSJ-EQSmD4gL4J8U/w:720/sm:1/enc/fYJMageAzYnT45Co/I6D7FWqt0ResYqtS/OaMVkH4RF0xZlKuu/DYIQONBPREAdIXKh/NxrGKq9OLMswyxyl/uk951M11X7R5y3HR/Em-Wm_NXbBALndUq/Akdr5_q0Lxcig5JO/lUjwHbMrqEbpGWTd/K6HI4fpN_sLY3x-r/PaAOxbXnsX44e7RU/1W1srYqObnEOl3-D/XqljN7TQiukqpU-A/fNV38KSt_UkOiNDi/9u8jNyG022w","https://imgproxy.fourthwall.com/4lh1rAdb6saoGyedthG2MTjDwgWkJrZ4VztVQpEpI6U/w:720/sm:1/enc/8Wj3M662ZAw_Ri98/f3T_Mu90QKG9lXR3/lIPNDSEeJdEJwZXu/Ymbo5TLvgF8NDetR/ql5hpUHgcRjwADEr/CIP2YYWXqQjJevHl/35TlyFv0xrdFJhFS/VBsfE-qszu9g9N-p/xsMJVBccd7GdT99G/zNpwFFK0xbF5VPZV/0jzOawtQTwvDlN5x/Wy1UxdqaD1kdkJLG/8cI4H2PZKCIwV4_2/Uv2tkOsY_AHV8Lc0/bCLwvZ-3z7I"
"1771750614-14","https://eleveprints.com/en-usd/collections/hoodies","Royal Lion King Oversized Hoodie","$49.99","","","https://imgproxy.fourthwall.com/VR5lcqScpEBg3kSN-GQ6EqJpLIRDmWtWDkHwkXXa8fU/w:720/sm:1/enc/ZbFSTzBT2lWRWlwX/jju8lNgyEcgxwlH7/uoVR-YBYFPh2UAeV/JoWeUs982y3NM5gd/-zycPGAmYeG8Zufc/1QCde9iOX-yo0ZJ6/O1GRkdx6_w5h9QQv/zMD9zI6rJ0Pktlx6/G1oxrfbD8HScbLD5/Ybh7LfCsQGuoiX-L/IDlPXHyRgFQgdsrD/J_cHff29j8wZ2fat/i3ovcwlYQ8IU8KCR/j4Ohs7wwlag9x7hO/m1mnCazw6M8","https://imgproxy.fourthwall.com/DgiArlnWd1UYR87B5wT2bUc34ghKZunS7j0eDS8wHVI/w:720/sm:1/enc/_-mI69wX-7yaA-uG/IDqOFdFN0L3rlK_T/hGwRFdr4hueQEhlZ/YDOqywBe6gEMoahQ/XKprAt6SODez_Rhs/A5gmVy6i8dDK9QbL/KHY5eyqpU5L7A7vB/As9TA464sJbszrlh/iOF-WVBWF0UtcyNw/Z26aZwsxVa92y_Gy/iPou3OL5E62zw_Bz/1SNbt3XgRp9_nbUy/ZQr5JGTR4ipYMCUx/caMLI_wlWre16SES/hiTilaYENIQ"
"1771750614-15","https://eleveprints.com/en-usd/collections/hoodies","Vibrant India Travel Graphic Hoodie","$67.99","$77.99","","https://imgproxy.fourthwall.com/ef7N6VVRC2vsBfue040neEqaq7fPJ9NIwiU2c4E-luU/w:720/sm:1/enc/j1ksqWe-EJzFitm2/R0nV9vQQ_u8N2GsW/3vVCizsvsMwcv0Dx/bZi9TuU0nQDZZJhH/QknrNRc4loIXTUVF/Hy60KvunN_ct4e4-/u5rztzuzlfTRtGfU/jP1D8IdOlED_fGC-/scKi06qlyJ_rIlWo/S7AawT5ItzQtggoA/6paDsifXe8ac5plv/hIhAFMqcVSph9BY9/xg7fTtyOBXwkGsYt/uR3ru-VzhYjQuzAS/2B5owdzuzeY","https://imgproxy.fourthwall.com/cPX94d7HzdAbTw1f-K3rHj73bfUovQHRZA_SmoQgcPQ/w:720/sm:1/enc/4dr3xb9_ynOfk_Z9/jSg3t0ryM9BWNhkL/gTsgJ4-oH1FNKvnm/6WvIZY5_qnpAsdd9/zDaqyvPx9uLTGsGa/QRd3x4bm4Ht96IiZ/-yehPpP0Gw7fhEfQ/z_u2XKqy7nQToFc0/jpMTiYzAPBU6FFlD/M3q3f72rOeXEGK8w/-MXHA2zQjB-XK5W2/VGuOQ2uJCmPwraRa/5dRrpNym3DJYSDUO/mJfhoC03kLVjjKWP/coyuGiBzpuA"
"1771750614-16","https://eleveprints.com/en-usd/collections/hoodies","Positive Energy Handwritten Hoodie","$68.00","$72.99","","https://imgproxy.fourthwall.com/urF7VputkR8VWymmRzncdLGGGHAGhcrTK19NeFAFuhs/w:720/sm:1/enc/NKqmKhUE--VZ46bl/rFOMgZsV8es_mxHp/RG6-8yZ7YauTTCIh/orHsSSwM-60RQRws/0Sq7SOwQ6G0znG4g/IcZHp5072FVjKsOI/pnWpo-7yRcq55T1Y/9w0oxtxGRnLFRb_C/XbxaO6ufba6-BDoq/WABmfOa3mDeUtKYw/uxxgkWtCDb6U1D0S/brpkAY9RNrRgXTdQ/2ZdacaskoW40-S4x/E88A7nacrKWuEbv1/K7lTUX1imNs","https://imgproxy.fourthwall.com/DAbRJFdluwOi7qM2VX-jF7RFiZsBs_JEXvPS1exk3a0/w:720/sm:1/enc/Zdh2L17U4XkzOf2Z/efqMNrbVJrf2PhaL/1eO2NW-h-Ka-XS6Z/w-_mNsLLB2WSmeHd/ZX5BUad55wUqiB5F/_y6s1lMQHy4aeJtq/8aklzfv-yxdKzm9A/vPzZEMh1rQxn-5d4/K8FzPRmSYT8cac_P/yLcg9hQI5km0CqSA/Vs2aSN_qpqr_0Ujb/4C7isk6SwZLTJ6TJ/8FVRjrBp-tYNwZQG/swLZVC_cDxotz3WK/virsSJaKPCs"
"1771750614-17","https://eleveprints.com/en-usd/collections/hoodies","Eco-Friendly Skull & Snake Raglan Hoodie","$53.00","$83.99","","https://imgproxy.fourthwall.com/rNFnnuEV2ikNK0LHikv2GqlUwKJ5VZ0JpAjRf-9IoyI/w:720/sm:1/enc/VlJflLMle7EKxte_/-xhtaF5WHHCz57bf/I5M6NP6iq9XBewxe/FkFqOMSHkl4fFkWA/Fv-qPuufAeQMK--M/b6wZ8c63DwyXIFqM/tqsPwiKpCQTAJ0BW/X68qOaFCLnuzQvo0/Ps0G7yKhibBcFX72/31LrLnGHdkQ3OwZx/7hU1Ft8w9WvNUQ0M/SXoRIUpiYY3ycRAg/WLTT4vgyCvF6Mrjq/fp22T9eN9XjKkaPO/Bc1GMRXzaRw","https://imgproxy.fourthwall.com/8HzHHhqEf0kv7SBhtklXVtlnHmk1UR0FircJeVbA2qc/w:720/sm:1/enc/BT53yJ1wBpHI4D-_/6SlQFmQfnQTu0B-q/eoJN2a-zYRboRw-p/kFFsr3aHWC0B4NRX/_V0m4vBUjhQImKsl/om--43KkUVfIrLlU/Vq8HrVzTAhBdj796/4D-hvr7-kaFDDRT1/Vi_FWdbmIP-IYZ-4/jvEIBllh-3zRCX5r/em8tE8vkliK2ykNa/VTHxQ6R-jIkAnqSv/gNvrnYEdfFHmY0Po/OSbFYfPlyj5i2teg/xmwwwfYWrVA"
"1771750614-18","https://eleveprints.com/en-usd/collections/hoodies","Yours Truly Premium Hoodie","$34.99","$49.99","+1","https://imgproxy.fourthwall.com/iXv6haUOvClSr6ZIo2W_YIV2KpV_HxmVF3px8wJrWgY/w:720/sm:1/enc/T9VBRssZqrF2Cr8n/7OfWtmhNAl_v3VHZ/nvVvBPCge2Yla3NP/jjDMcUpWMHQ3fz8i/dQfFOi9GXezkBUcN/DLYbISjYBFMb0QX8/ek_jpTqGIZXQJDi4/P4vWw9z9CR_Uqr87/zYDVTeoXw3Zw327V/8rNQ7iTA8bZzzIC6/LQnkiojeAD3PikWA/JHeMzTg6dy7LIx9M/ws6F0dUszykrwMzF/vhApJ2MsbPgouCGv/UkNJJBpB428","https://imgproxy.fourthwall.com/jVIgRzWgpKwQWtcc8pmSZo9icT92QUy1FglavRaZ7nY/w:720/sm:1/enc/55kru-BBqP5zNOmS/GO4aeUMLP1dkry5g/zoIgtpvny26EAKCO/LRvqOvFquKEnjZ3M/vPBM9XolKoEq3BPU/Fnk0c-UX8kPwdm-C/xXV7A6h1nR667EJX/IAuSh91rUjdMadZq/rDuYEhpITVit7VDe/_Lol2FkYOC4tIK6G/fDPNj8APX4wki-Cy/KSZqei7kL4_ocfcY/svT2knS5mFVYNdIO/qFjVmOj5jLAw900Z/ZN24p0MjNQE"
"1771750614-19","https://eleveprints.com/en-usd/collections/hoodies","Dahlia Dream Crop Hoodie","$49.00","$64.00","+3","https://imgproxy.fourthwall.com/UADxw7KvL7NLZ0xaBFz0zJkMWPbcvCk-TmoIdyvW6D8/w:720/sm:1/enc/tAjFbTjBkOX7TsAF/rj1mhE9bS5f16bjW/2h77wTOG5NMSP0aP/E-4iy36INPjubleL/WdUW_h7Dmt5bSl0R/tjG_wGub_dW5vkvb/RyOZL76VssadVwvQ/IcEgqY3ly4f7hPv9/gXFn2vPPfEgAmy2W/pDqagmi8-kRkCrZ1/K9884NaH3vavxsvC/IdoTV-RLSkNdy2Zg/g10RmnC81Xe_QrGT/WTGO7y8_JQu-CGwi/HbxF7eq7Jk0","https://imgproxy.fourthwall.com/EKbnQ6EFDMrh4upPgw07sOL78R5VTPeefvLpmWv0hZ4/w:720/sm:1/enc/HBC5MCWwDz1DVp5w/Sj_FqPP-nIMWYRMw/GF2yrknjL9A26MMh/wsc4ZcEvvWeJFy26/nYcAegsGGJffBV7Z/-9eJ9x523UWvwApW/U82w0MiawZR0G0Gc/FzVXFsHRbKYRh-dV/3qJAZorIDOG_zbdA/Izc-WThsbDuBj3py/vckCHD_sSW0LDmY-/qa2RB-7thmv1fN6Y/kKHeZ7_4Gd6iuDJh/eOs79tXOWGG-czOI/-JO5T93Bzgk"
"1771750614-20","https://eleveprints.com/en-usd/collections/hoodies","Royal Glory Paint Drip Hoodie","$35.00","","+1","https://imgproxy.fourthwall.com/5cJd4Oqw6I-2TmCGkMM16ao-9E8yCLY4mt6_pPiq9YY/w:720/sm:1/enc/0kfQVhyQomD8mI4C/mm4-eqZKfOYAGuRG/fl-7Yaw6ZuM9PBtJ/Zumm8dWcnb0R1FFN/900NUJSJlFvdKtW8/puGJ6e3ybtAKYZ_6/78PlmxsyqijjUL_w/8CFESXPD2IvBxcUs/xKP6T4B6MjJcW-Sf/BM9-akaLEkJebZVd/g6W7AwfpjCi9z8YP/MUZhRH5giLGDsPWN/RYMFVQi2eAJmNyJb/t0SrrHM6lxQzFT1D/VNmEsK4ugB0","https://imgproxy.fourthwall.com/hTH4UZJ8C5QY-O8_W1MVXj3JCXSMvOCgLFGetLs3A_g/w:720/sm:1/enc/TikDfXC8RQG7OIki/eRsr9_wld23B7i1H/h9N67r3fy-owA5X4/QgJ4QPT8751ClvHI/IlJQHGkMF7pZW6Gi/XZQR9IxjDq04RmBh/yKxoILDpW2tbTWZQ/ni7XHjbNoJiYhRAV/36usKAU0xwBxu2k2/M2S40Iwq0649Dk5j/dRtcl1PJlKgcfEme/G0tk9uQzJLIXyWBa/ROzFaAQn9lTxfdoD/Zb4cCYX8uQGONeHp/cm5jF6xPgpo"
