web_scraper_order,web_scraper_start_url,data,price,data2,price2,image,image2
"1771750582-11","https://eleveprints.com/en-usd/collections/t-shirts","Gothic Rose Unisex Tee","$27.00","+1","","https://imgproxy.fourthwall.com/lAlMdHQ6wiuAL_4LlqFr3rypzSQBEJCFiu1ld0n2jr4/w:720/sm:1/enc/QXAkFboCbJomuERy/rdjv5NUk8pk7j0ls/JaokrUaSLpTLbpCQ/Bkrgkot-MXQy6IB_/O6zSmWNKrkfaxeqw/TP0up9O5FmDbsHjB/VskgKiLTcnrmGtkE/-6W5hkqdgZL6GfNQ/O6zkaz3_KccleFUp/MR2fL36PsY0XkZNh/Kl_fklJ5C4hy0cb8/fDvtt8IMzm2-mLRd/nuIJfOqaYTFaUw0u/ngeuFAmDF_4LFvwX/WGncGWdY5x8","https://imgproxy.fourthwall.com/Iwl9BjIQEGJLluBv0LtbNiaG1fdAkqrHaO8_cebD5o4/w:720/sm:1/enc/k5X-t6mR4F9WDVNM/ITwY89wxVuEylZWv/gqHpHBGzOENdOdsl/2Cm0KG91us2Ajj5Q/4TcED5-6jxlNU4Iv/9UOvRnrRKwYDLMEO/xnbjftMBnRSdzGCB/KSVl5Ou7reb0PpN9/3HxlacxOiRziSbBU/O1f1P1ips2j5qR5C/FMNiGjsOo-lqVCnn/77QhkT7HLCrX-4UX/5M88MzP-Znsb94AN/d-u2TR1Sn9tP9xDK/wPZAwUEtjXg"
"1771750582-12","https://eleveprints.com/en-usd/collections/t-shirts","Artistic Urban Affair T-Shirt","$25.00","+10","","https://imgproxy.fourthwall.com/frkd8zD_S3ADE0GLxf3pn024D-iUQyLPC45YHhus1yE/w:720/sm:1/enc/Rm4T4onBR1GMv4Qn/RouQjKlS9lw-clIf/E0tuSWXpVHvVqWS4/G3B7KWalyn5S5lxy/OeNS8rt-C9JRJWSn/lt6HNeguDV7jTbcT/rRUWYOwl-qapc470/aFnrnb308ZqsmcWY/wNHp4tz6-FDc2bKs/daZPo56wXhcu3zzl/Nfm9mC0J599xv50z/d03YkxaId0dwMcSB/gCWpmIeB6E9G_Ii1/TX1fCrbt1eCfKGzf/6u0-l1VizuM","https://imgproxy.fourthwall.com/eo53sWJ1K9-KH-T2CL0yeuE3AXRgsb7mTAZHPnEXVUQ/w:720/sm:1/enc/seOdxR3SpW6u2_ui/HwrZT8JnJLA-v8gd/3kSxRYFTo1I0sTEt/vh7oBt-THm9GJRPj/xiPvpG--VlRfNkxF/fJEfIeKfJRWm1OCY/lSDHjpY-aReVRfnd/WaYoVaqBSD59SuwS/XQ3mkKstv0M4SeSu/XRWculYorqF0UPrU/mtUKg41eXK4BJuvI/RHUsrWzODnPsfPkm/BF8jQauoygAKig6x/kO32uRhYvjSgo8c-/byLvhfLp3Zc"
"1771750582-13","https://eleveprints.com/en-usd/collections/t-shirts","No Gods Dollar Bill Pattern Tee","$25.00","+10","","https://imgproxy.fourthwall.com/ZqN_z82usW6LZ2Px7dPGWUXlMjuLSb-31vl-w-uDjZ4/w:720/sm:1/enc/CNnxgCbROqZlIVG1/Tw3cOZVI_N-luM0x/n-YuJEeP4U-biKrn/nfxTRwZQ7e0Q64P3/qyh5Gyc8QCKsatWn/aUggwc_NL2P4aWTh/QFq_qO-s-QRvN7e7/GQAIR4WTe2JhdayB/sRdDWTLqtEXPduSS/AvAPt6GC-J_e6pcm/yWizXea23Gnkt2Xw/iXM7j1416SgHqcCD/rM5G-INP1GpiQFcF/-biY88wC2PzHLpGi/TppuKHbqp9Y","https://imgproxy.fourthwall.com/f_CNe46__le47P0Q9CK-chbTQyZBu7EXIKahRhxagqc/w:720/sm:1/enc/srehvofTDeF9f3_Q/AjrrZxOmov-aJeBi/FCaDkuKC2YqRxIqB/-JTHv0fLxdZ5FT_e/AQxm320Ao62Nf5cU/IYDA2K5hBOT5kRNU/aWzSKuR_8VsxjJja/-wR8rDqvGmVipY5b/CI7llpE9v8lD3ZQf/KlyixhPdzkx_w9jc/j3JaM7rHOviPXp0A/uJ8xo3GZ3PsOuixO/Ee-S0NKihw85Bb07/tUzUEKDqnBbUrcVS/p_Gi7EKKDgo"
"1771750582-14","https://eleveprints.com/en-usd/collections/t-shirts","Mandala Mantra Comfort Tee","$24.99","+10","$33.99","https://imgproxy.fourthwall.com/vu4wmMIr-KN9FbD6z1jT1kpdqwcFwfmTTgqfu8v7pk8/w:720/sm:1/enc/EOYoMt3yqK1pA3mq/tFjAAqLyDlQHUfzP/j3cztFp6vV7fx_gY/Sj2WZ2Vv0Lhjw_rX/FM5LmIbgCmR3ztYO/GH5vhQg7knwUdm14/Ox912gIHHas7jOn3/ux1ZeTZ0zTQJEGag/adqLNNUHVrGWJHyb/OR-NcLILnVRLqKqj/XutcmXPEmYeA0iQu/1Eqi94jIC8eOuqKG/M3u41eDv8xJtqCIu/_5RNFfsNkGy9Y078/u_KJOK5nq9U","https://imgproxy.fourthwall.com/rPK4KPSojfcHoJxaYCtFQyR1h6f2_0fll7GfO8bsQZA/w:720/sm:1/enc/5pEXS9wvme0x_FFN/9AWZ4cR4ishvA3Rw/XsojajK16M9caTQQ/l2B6b6_ZsDffQxqO/rdV7BRlSpviqsh5o/FXaGI4iBmNsUi-Ue/DO_CDVAgmeqPWdC2/9KQf3LPv-A2NaGhQ/Vm09tlUhGcjhHniG/OI7Ki1vwKo6o00P8/zIB8YQQYzNZefqMx/O9wspXENQrztE4K3/mK0R7MaLKjm_pfmr/c-HZQ3_surlisZ7d/MvA82J-jGkc"
"1771750582-15","https://eleveprints.com/en-usd/collections/t-shirts","#NO FILTER Stylized T-Shirt","$22.00","+7","","https://imgproxy.fourthwall.com/z9VeFd2fY-1v8BswlgMdGkUQA7eLcXYUyszdungm8jI/w:720/sm:1/enc/uKG4_b0ls1nbsJ-U/tzqAY-zxkzmKPc9O/YH_EEgVVtk2GmqqI/1iJxnmR6WuGnUpWo/MH8GGc6ndT_UAxbR/XH0fjsilUHwhhT73/OzEoXZyfTn08TABc/RuOa0nmBIlWdKjm1/OEbVZ4kEz7r4UIUP/SxtEsK3xo6QR8D-6/wIFeNaNCnakGT1zq/3s45Ezdb2PyS741r/0BHHlE2JoiUxRYb-/rCnbjzBHbi9dOEue/8IqqCMr_eQM","https://imgproxy.fourthwall.com/03FZC-x4HH1BIHLse5B7uB0q-aPx0zwBw1XxA6sbxyk/w:720/sm:1/enc/_-76R3GS559kK0YG/4udeuH1LaEBwIt6_/MZ5svXirSOkaQQiA/FYN7WSEJa2n07Fn_/QbB81_alGDQAYLP_/1TNnYrCNMV99l1oW/ClTHT5QpDG0reV2p/MHZx-Kca9XyCzw3w/UbvCzIwBZn-9GGF0/fs_cpRt8qBF56T-S/Ut_9lW6fvLbd1sf5/LtBRGTYR4d7sfQFp/UlA9ejKusACfsXjs/bhH-vY4aGoQAeMQh/rlaJ72m7XNc"
"1771750582-16","https://eleveprints.com/en-usd/collections/t-shirts","Motivational Cut-Off Tee","$25.99","+1","","https://imgproxy.fourthwall.com/yWMvXiNTJskGknFKT7w5VkaAW4h5g6bzkHCTbVxwIo8/w:720/sm:1/enc/foy4JCmdD1jq5Qll/DnT_DaA_MISTUJ76/yh6D0F5bxyoVs-uf/lkIq2lhWnaf4VdpU/aJoiOyDShVa43TD5/-VX_e8cgm47z3hCk/SnM3SiFgacYP5nl7/uHW-P-xIJUrjlRUO/OrCx2PJuBm-bBAGX/zF6fCZf65A0jHFLi/5FQgMDzIsJ2sPOj5/ixZVNiQMpZZGEPrt/GHe6tbOMiwv2-5_m/LjRvNyZGrd-V4GA9/mJUGm9FmAAA","https://imgproxy.fourthwall.com/fxYSVASwnQ3xfCNXzwRpEqh39mdwLMf61_gos-3dTMA/w:720/sm:1/enc/iIAwJY6ruJdHtOvr/fh8oYRGD4lqzEyke/1pLOJ_6EXdwHufwm/wlalOJwv_957wABN/fcOHKZNAO7cU3C0G/8QSfuCb_GKA3NyG2/6mnSAMe9rHdRpsa-/dBgaL-nh21jI_drY/0qBnb5M6jEQFRLGC/BFM0-6j8kBUcw8gQ/dhXfRaN9CEu8SE45/N0m5LT2za-wzeD5c/nKtJdc2Z9SeI1unu/pRI001jillOj5weS/cCf-Db4RZg0"
"1771750582-17","https://eleveprints.com/en-usd/collections/t-shirts","Roaring Lion Graphic Tee","$32.99","","","https://imgproxy.fourthwall.com/VqIRUIij2FKVptyocDNqF2yZoJ6ZytTduG7M3OU6mUs/w:720/sm:1/enc/6E5EPUmyLF8kmHY3/AqlEseH1H4tRt0YH/OXeBAYGzTA8an73c/7aH0SpoQ8MTRG00V/iOllcdFz0goUaiHz/x4hLclP7Z6K79B-C/jtpldS8CByq6KRYE/c1BXgIAe827JsH70/5tsMVczqg6PzjTQD/xMtoWJ9AqjOxsDBC/lp_HEk8swnVcuYlq/5dICPf-bLWZhYE3H/YBwQ6oEJq8FBGLZ7/S1HRFF6wTlqG7YMK/jeQjcgPz-UQ","https://imgproxy.fourthwall.com/S6IvlsvnmaCc23XKt5PY-BkSBKZlyVWNieNXlZT6gks/w:720/sm:1/enc/dLfW1IR6vysGK24H/5_zHXvQcc5Gv2ivc/D1ntrCy92dCKAXII/uZm7jzZg0xk9gXjQ/0_steP4_Nc3YLi1R/1Fis2KGLLX_JxRRt/Mcl2HxWjdY9jKF3M/LcT9oEMqpOZiw9h5/21AHs4_ch15x1fJc/oUeorMNa4QCJYUpj/ATYxHGdrfxNR-ZLK/IlIuc8tT0OG9q4j9/sY8bICPsAv20O1gI/vyRPS9bh0Gsvn0Cz/fbcPjbTjYIA"
"1771750582-18","https://eleveprints.com/en-usd/collections/t-shirts","Bold Sports Typography Unisex T-Shirt","$15.00","+2","","https://imgproxy.fourthwall.com/6M1A4aGVhMdXzPSsIkzhl25Z3taY8uT1sZ111FuqO_M/w:720/sm:1/enc/RfTxRuGPr7DXj2l5/B6-dgkzKtjgllC16/g8ktE42DiHIBu1Cw/qkNtsPcbsyflwHIq/HTcrVbefIfN2mibE/b405AWOz5xGp13hz/fA77Xx4N0xLhWddk/1fNyIhJWFWkjb-Ec/rXL8NshHfN1SLIpZ/CslQUdUUkeWpq48Q/DqsL5zr8n4Jgi_eh/NkS1PI-Hc80bZ3ui/wodsioi6aKqnoI4u/7DH0z2sceqJ7PedR/mhPMcFl5x60","https://imgproxy.fourthwall.com/tyQPR79vhjmwgZUCyBJoeIc95xOw_AJnM-oxNs3ZeOw/w:720/sm:1/enc/fb0xu9lfy4YPE4fl/gIfp5E8kMjRzwpO1/tg3PKuohrJMYEMzJ/R9ojymP4LDseThIv/4XVjw4RQKcEhC8et/iy0kBmOPbpC6XVhe/RMxJivpwk0FGHTVE/KWJ1sCeT8J1cMC46/9nDVZFYpgdwLDATX/ihHPFI3lT489yK1x/MnZJFaDPzk5gaVp8/6MP9k5es_fN_ACqq/yCWbUTcZmcsUC1ne/NNpX5OH78X8oa8un/DplO1mgyNMQ"
"1771750582-19","https://eleveprints.com/en-usd/collections/t-shirts","Resilience Manifesto T-Shirt","$27.00","+11","","https://imgproxy.fourthwall.com/_K9Xq4lv6KE-9YHnB1zp65sIv_dm2dsXIrm6S11PDKE/w:720/sm:1/enc/qJmq6AFBXmADO84J/5EDD5txGNY5SRdaY/ih12-0avn3GRaWJY/TWkJC6mrOlvPX887/Aavq_cdWk7_sl73z/E_Z0r6AApYvm2YGB/KaENzp6lLbLLnhGg/GFWKWUutKNxZB96t/ZbRDFg7-1_79X239/DLstHUTDRu0zs93E/Zd4213ZIHFh--W-T/NJhD3BoTVdkiAUoS/rr0Qy9uNay-C1bIK/fyjdkugsseHZKqMv/5p46VSfa6MA","https://imgproxy.fourthwall.com/vgXxNnKxniNyP6VEv4yAsRZ5mNhWE-zQ4v7FmZcT55k/w:720/sm:1/enc/Sunhbsx3vxaQu-FV/tXdeAb9gbJ6RmZMH/2o3wbdL566PF2fFo/JIv3JZcDRZyA0Dhv/tcogtjGfWE9bDcJW/TDm7QS9yzA8hbTpv/5a4cKmttu17FbW1l/ZvP2dab2rfy4h4iW/Y9y--bctn1as0_6a/skAAukGLG-xN32lG/oWe6utVMU7OBl90o/NPvmXLPMXFG3A7al/bxjHBYOEvzKzPHkO/vYa1IK_R5B6P9GyP/q-czFLJ9SZg"
"1771750582-20","https://eleveprints.com/en-usd/collections/t-shirts","Airborne Slam Dunk T-Shirt","$25.00","","","https://imgproxy.fourthwall.com/aLwlChmuavZ297sOEoTlIIRjaBvxTN0Ap1cNe7AQTB8/w:720/sm:1/enc/iaZqtzLLlZnqZSFl/yX7rfi6H9rx1cTYz/0gZSE-tRST8ToFT-/a65ERmUFijT429xD/MMh8uEvyK0eRRMBJ/6to8D1jhq63pIT29/BiZ42olCZ2jgNePA/4jRHA0FDRMrwe61B/_vDJcBooBmXbrdPO/xuM2r4biLtAXJBld/HM4FZO8RTC4__F0d/5qV8PXm-YT3z105n/voy48uuoBJ3-30Aq/0wxllhuMnc6F9KaB/89sN_qbmSc0","https://imgproxy.fourthwall.com/C7t2b3B2rFp-NUDNlic9HMuV5tTDjBMf_zUxPLzyQFM/w:720/sm:1/enc/EY5dCSskHIJ2jGmA/1Ke8NQm3ECeP0EJa/EisPjRBzBzzqCGA4/YhmZrhUrNrXSmfR2/LMfuSyWXiThhE5HX/2aTMijbyewuBJTma/L-3dbrSQY_NDahbc/orkqIi3DM-I_NvFe/TLDO16ud-5X0r0MR/jA-cVa2grjDQQ4BP/74X_wVTaAecBOE3M/oYgA2frJPMKYCSE9/-PTeXtC3svVJ2W6l/iWk3hoX3iJ_smOLZ/C_sAk4eT8hI"
